# Tx(m) Ty(m) Rx(m) Ry(m) loss(dB)
0.000000 0.000000 8.400000 9.600000 113.892197
0.000000 0.000000 11.200000 9.600000 100.392250
0.000000 0.000000 14.000000 9.600000 1000.000000
0.000000 0.000000 16.800000 9.600000 147.579269
0.000000 0.000000 19.600000 9.600000 179.041367
0.000000 0.000000 22.400000 9.600000 170.472549
0.000000 0.000000 25.200000 9.600000 119.429467
0.000000 0.000000 28.000000 9.600000 138.836862

0.000000 0.000000 0.000000 12.000000 61.627850
0.000000 0.000000 2.800000 12.000000 75.997823
0.000000 0.000000 5.600000 12.000000 157.610229
0.000000 0.000000 8.400000 12.000000 91.876902
0.000000 0.000000 11.200000 12.000000 96.472368
0.000000 0.000000 14.000000 12.000000 96.338550
0.000000 0.000000 16.800000 12.000000 102.696228
0.000000 0.000000 19.600000 12.000000 105.072490
0.000000 0.000000 22.400000 12.000000 107.115908
0.000000 0.000000 25.200000 12.000000 106.936707
0.000000 0.000000 28.000000 12.000000 141.421233

0.000000 0.000000 0.000000 14.400000 63.211475
0.000000 0.000000 2.800000 14.400000 78.947076
0.000000 0.000000 5.600000 14.400000 159.378159
0.000000 0.000000 8.400000 14.400000 88.606317
0.000000 0.000000 11.200000 14.400000 93.295134
0.000000 0.000000 14.000000 14.400000 1000.000000
0.000000 0.000000 16.800000 14.400000 95.984254
0.000000 0.000000 19.600000 14.400000 165.877121
0.000000 0.000000 22.400000 14.400000 102.909422
0.000000 0.000000 25.200000 14.400000 114.582444
0.000000 0.000000 28.000000 14.400000 131.502233

0.000000 0.000000 0.000000 16.800000 64.550410
0.000000 0.000000 2.800000 16.800000 81.396116
0.000000 0.000000 5.600000 16.800000 75.681202
0.000000 0.000000 8.400000 16.800000 113.553131
0.000000 0.000000 11.200000 16.800000 147.659225
0.000000 0.000000 14.000000 16.800000 1000.000000
0.000000 0.000000 16.800000 16.800000 156.550720
0.000000 0.000000 19.600000 16.800000 99.728378
0.000000 0.000000 22.400000 16.800000 157.889191
0.000000 0.000000 25.200000 16.800000 116.883477
0.000000 0.000000 28.000000 16.800000 133.684148

0.000000 0.000000 0.000000 19.200000 65.710249
0.000000 0.000000 2.800000 19.200000 83.503330
0.000000 0.000000 5.600000 19.200000 163.832626
0.000000 0.000000 8.400000 19.200000 154.739183
0.000000 0.000000 11.200000 19.200000 147.508972
0.000000 0.000000 14.000000 19.200000 1000.000000
0.000000 0.000000 16.800000 19.200000 156.370377
0.000000 0.000000 19.600000 19.200000 169.660812
0.000000 0.000000 22.400000 19.200000 92.178001
0.000000 0.000000 25.200000 19.200000 118.831739
0.000000 0.000000 28.000000 19.200000 134.888628

0.000000 0.000000 0.000000 21.600000 66.733300
0.000000 0.000000 2.800000 21.600000 85.359562
0.000000 0.000000 5.600000 21.600000 174.677490
0.000000 0.000000 8.400000 21.600000 174.469528
0.000000 0.000000 11.200000 21.600000 105.501866
0.000000 0.000000 14.000000 21.600000 108.843274
0.000000 0.000000 16.800000 21.600000 111.576419
0.000000 0.000000 19.600000 21.600000 113.900506
0.000000 0.000000 22.400000 21.600000 115.912249
0.000000 0.000000 25.200000 21.600000 83.269361
0.000000 0.000000 28.000000 21.600000 133.169058

0.000000 0.000000 0.000000 24.000000 67.648450
0.000000 0.000000 2.800000 24.000000 145.261767
0.000000 0.000000 5.600000 24.000000 165.030954
0.000000 0.000000 8.400000 24.000000 173.329731
0.000000 0.000000 11.200000 24.000000 171.232562
0.000000 0.000000 14.000000 24.000000 129.210696
0.000000 0.000000 16.800000 24.000000 131.778056
0.000000 0.000000 19.600000 24.000000 133.866644
0.000000 0.000000 22.400000 24.000000 135.360699
0.000000 0.000000 25.200000 24.000000 134.842041
0.000000 0.000000 28.000000 24.000000 80.817661

2.800000 0.000000 0.000000 0.000000 1000.000000
2.800000 0.000000 2.800000 0.000000 0.000000
2.800000 0.000000 5.600000 0.000000 48.987385
2.800000 0.000000 8.400000 0.000000 55.007985
2.800000 0.000000 11.200000 0.000000 58.529811
2.800000 0.000000 14.000000 0.000000 61.028585
2.800000 0.000000 16.800000 0.000000 62.966786
2.800000 0.000000 19.600000 0.000000 64.550410
2.800000 0.000000 22.400000 0.000000 65.889346
2.800000 0.000000 25.200000 0.000000 67.049185
2.800000 0.000000 28.000000 0.000000 1000.000000

2.800000 0.000000 0.000000 2.400000 1000.000000
2.800000 0.000000 2.800000 2.400000 1000.000000
2.800000 0.000000 5.600000 2.400000 1000.000000
2.800000 0.000000 8.400000 2.400000 1000.000000
2.800000 0.000000 11.200000 2.400000 1000.000000
2.800000 0.000000 14.000000 2.400000 1000.000000
2.800000 0.000000 16.800000 2.400000 1000.000000
2.800000 0.000000 19.600000 2.400000 1000.000000
2.800000 0.000000 22.400000 2.400000 1000.000000
2.800000 0.000000 25.200000 2.400000 1000.000000
2.800000 0.000000 28.000000 2.400000 1000.000000

2.800000 0.000000 0.000000 4.800000 1000.000000
2.800000 0.000000 2.800000 4.800000 1000.000000
2.800000 0.000000 5.600000 4.800000 1000.000000
2.800000 0.000000 8.400000 4.800000 1000.000000
2.800000 0.000000 11.200000 4.800000 1000.000000
2.800000 0.000000 14.000000 4.800000 1000.000000
2.800000 0.000000 16.800000 4.800000 1000.000000
2.800000 0.000000 19.600000 4.800000 1000.000000
2.800000 0.000000 22.400000 4.800000 1000.000000
2.800000 0.000000 25.200000 4.800000 1000.000000
2.800000 0.000000 28.000000 4.800000 1000.000000

2.800000 0.000000 0.000000 7.200000 1000.000000
2.800000 0.000000 2.800000 7.200000 1000.000000
2.800000 0.000000 5.600000 7.200000 1000.000000
2.800000 0.000000 8.400000 7.200000 1000.000000
2.800000 0.000000 11.200000 7.200000 1000.000000
2.800000 0.000000 14.000000 7.200000 1000.000000
2.800000 0.000000 16.800000 7.200000 1000.000000
2.800000 0.000000 19.600000 7.200000 1000.000000
2.800000 0.000000 22.400000 7.200000 1000.000000
2.800000 0.000000 25.200000 7.200000 1000.000000
2.800000 0.000000 28.000000 7.200000 1000.000000

2.800000 0.000000 0.000000 9.600000 1000.000000
2.800000 0.000000 2.800000 9.600000 1000.000000
2.800000 0.000000 5.600000 9.600000 1000.000000
2.800000 0.000000 8.400000 9.600000 1000.000000
2.800000 0.000000 11.200000 9.600000 1000.000000
2.800000 0.000000 14.000000 9.600000 1000.000000
2.800000 0.000000 16.800000 9.600000 1000.000000
2.800000 0.000000 19.600000 9.600000 1000.000000
2.800000 0.000000 22.400000 9.600000 1000.000000
2.800000 0.000000 25.200000 9.600000 1000.000000
2.800000 0.000000 28.000000 9.600000 1000.000000

